index_str,p,seed,n_nodes,n_neighbors,transitivity,avg_length,sigma,hub_ness,ipr_rho,ipr_O,ipr_eigenvector,variance_rho,variance_O,variance_eigenvector,k_avg,avg_clustering,eigenvalues,weighted_k_avg,weighted_clustering
p0.07906043210907697_n20_k4_seed3,0.07906043210907697,3,20,4,0.8181818181818182,0.8926315789473683,1.6848280718994586,1.3636363636363635,0.050000096921775095,0.0500006005219735,(0.0847518453324347+0j),3.059601598388076e-11,1.2108249288489971e-06,0.05,4.4,0.44333333333333336,"[-7.916615620270898, -7.589334237935121, -6.760521307003283, -6.441412423485969, -6.051056905744433, -5.882399422693376, -5.625401809006254, -5.257978777832033, -5.000000000000007, -5.000000000000003, -4.732819213507965, -4.437740490554969, -4.1741464272934214, -3.742046493298612, -3.5679191734004965, -2.170572667532955, -1.8291738420181385, -1.0818296513108157, -0.7390315371112205, -2.220446049250313e-16]","[5.42605440106207, 5.464610634750229, 4.829482430459297, 4.40272424460732, 4.10687240593492, 4.133726602043696, 4.141415272590059, 4.24984724121503, 4.266666666666669, 4.000942874131769, 4.7086258253978475, 4.1511931589382005, 4.406965343064523, 4.102186187871548, 4.208232197688696, 4.334355840766365, 4.336862696648773, 4.240893181030794, 4.089285669263962, 4.4]","[0.2889431504437361, 0.3095036857963198, 0.400440189688618, 0.43182888648723894, 0.4816075975582667, 0.48222804276666054, 0.477270761040649, 0.467112496338952, 0.4622222222222216, 0.4998664261646661, 0.39095462725336466, 0.47276332936294646, 0.44416088896507905, 0.48588789385762715, 0.47087361315155585, 0.4445104273575668, 0.4605464639181352, 0.46732575337884796, 0.48515330374554694, 0.44333333333333325]"
p0.07906043210907697_n20_k4_seed4,0.07906043210907697,4,20,4,0.8823529411764706,0.9936842105263158,1.76534733531814,1.1904761904761905,0.050000061510673675,0.05000047789834563,(0.07898598811123955+0j),1.940285857693627e-11,9.622355577584013e-07,0.05,4.2,0.45999999999999996,"[-7.134942763376049, -7.081468745534215, -6.1746762914608695, -6.07631235861845, -5.893090571490349, -5.79787232406804, -5.57574073975717, -5.000000000000001, -4.999999999999999, -4.999999999999994, -4.502925277186294, -4.288597869700964, -4.150551199495341, -3.6334084572662846, -3.452915337577875, -2.051091197996737, -1.7938179535152046, -0.8548724815946167, -0.537716431361524, -9.992007221626409e-16]","[4.79879308357659, 4.648486674811791, 4.134033416854323, 4.143687587587377, 4.091580523681396, 4.2755986070655005, 4.0925396097802516, 4.226813905177784, 4.000203874209785, 4.05, 4.13478043392803, 4.19586643284287, 4.068878209567506, 4.19376209762035, 4.168693060269206, 4.301687663055017, 4.028022253423936, 4.143764672956073, 4.079825672979788, 4.2]","[0.340241383284682, 0.3703026650376422, 0.4731933166291354, 0.4712624824825247, 0.48168389526372096, 0.4448802785868999, 0.48149207804394956, 0.45463721896444315, 0.4999592251580431, 0.48999999999999994, 0.47304391321439393, 0.4608267134314261, 0.48622435808649894, 0.4612475804759302, 0.46626138794615896, 0.4396624673889964, 0.494395549315213, 0.4712470654087852, 0.48403486540404234, 0.4600000000000001]"
p0.07906043210907697_n20_k4_seed5,0.07906043210907697,5,20,4,0.7894736842105263,0.9010526315789473,1.610517733919305,1.1363636363636362,0.050000078713650455,0.050000452764179845,(0.08778907394544126+0j),2.48334838396617e-11,9.114649063739213e-07,0.049999999999999996,4.4,0.42000000000000004,"[-7.544935428369224, -7.15936992300126, -6.97199782335444, -6.502396043151648, -5.999999999999995, -5.944658895088958, -5.586666373308883, -5.463063719370782, -5.191824394631467, -4.9999999999999964, -4.84729767421809, -4.466025093656277, -4.113012228302538, -3.697720091830847, -3.5339554443673884, -2.047175934745132, -1.8427351138704977, -1.425875617277296, -0.6612902014553081, -1.1102230246251565e-16]","[4.90362948655063, 4.917841701959146, 4.6972830909895595, 4.43572730712511, 4.303030303030305, 4.328840579053747, 4.4307319330035675, 4.358198130122785, 4.273715053346682, 4.1000000000000005, 4.55224148430557, 4.093369961786767, 4.294826757605611, 4.505767460003138, 4.186076177576354, 4.433521953288063, 4.285700981318324, 4.366743748595646, 4.132753890338995, 4.399999999999999]","[0.319274102689874, 0.31643165960817116, 0.3605433818020881, 0.41285453857497806, 0.4393939393939388, 0.43423188418925074, 0.4138536133992865, 0.428360373975443, 0.44525698933066354, 0.48000000000000004, 0.38955170313888626, 0.48132600764264655, 0.4410346484788781, 0.39884650799937243, 0.4627847644847293, 0.41329560934238746, 0.44285980373633504, 0.426651250280871, 0.473449221932201, 0.4199999999999998]"
p0.07906043210907697_n20_k4_seed6,0.07906043210907697,6,20,4,1.03125,1.1368421052631579,1.8789704052580258,1.2195121951219514,0.050000096634602455,0.05000074565070263,(0.07500000000000001+0j),3.0507465201181625e-11,1.503955934299094e-06,0.05000000000000001,4.1,0.5166666666666666,"[-6.778434239157548, -6.236067977499783, -6.19538045617635, -6.0, -5.804210190271158, -5.7936044933348425, -5.555870137888032, -5.000000000000004, -5.0, -4.999999999999998, -4.520157341024204, -4.28407904384041, -4.0805171957065, -3.613171251044928, -3.442463484164953, -1.9222992291938656, -1.7639320225002064, -0.5299599595374107, -0.47985297865979787, 0.0]","[4.664378182854815, 4.180901699437497, 4.017289995577936, 4.099999999999997, 4.0053471076261875, 4.195105651629513, 4.152644777120253, 4.0249999999999995, 4.076923978993101, 4.050734783300796, 4.054978784313503, 4.041221474770753, 4.012442692969526, 4.031605350663787, 4.004894348370485, 4.046219601490773, 4.069098300562506, 4.015093507383222, 4.1587785252292475, 4.1]","[0.5069096050951006, 0.5115163834270844, 0.5088803252910463, 0.5166666666666663, 0.5405613550948103, 0.5068702457951253, 0.5107921002161977, 0.5354166666666664, 0.5003596868815182, 0.5312842490766655, 0.5302018973663217, 0.5008157247284141, 0.5006059332850651, 0.5223358275735127, 0.5264630875382079, 0.5040003664139971, 0.5301502832395826, 0.5007125896639486, 0.5325176086049191, 0.5166666666666666]"
p0.07906043210907697_n20_k4_seed7,0.07906043210907697,7,20,4,0.9019607843137255,0.9473684210526315,1.7500351191362744,1.3636363636363635,0.05000008359161999,0.050000472863903904,(0.0840455866601922+0j),2.6404280326676503e-11,9.543496404832774e-07,0.05000000000000001,4.4,0.475,"[-7.8039912766317485, -7.057639873822561, -6.736136693595413, -6.363775526087032, -6.175607441033562, -5.889195085336524, -5.788820958596108, -5.597415552986519, -5.1711086504165245, -5.000000000000007, -4.686321004866007, -4.363669485313731, -4.167520103379824, -3.8178726578641724, -3.5187799755605322, -2.2561117921072484, -2.112481403813549, -0.8312506547029219, -0.6623018638860634, 8.881784197001252e-16]","[5.386463917429087, 4.824752252418715, 4.7424329626575075, 4.63277895604967, 4.370159427845902, 4.404360125455322, 4.100687106099751, 4.235190158659096, 4.327473151226931, 4.350000000000004, 4.133102005467659, 4.34630402557761, 4.209760325306468, 4.442634695817826, 4.043473381871767, 4.2772869057951315, 4.203558208286956, 4.2153847545144725, 4.354197639520126, 4.3999999999999995]","[0.3471535547269558, 0.3685276357935435, 0.46294123375813107, 0.4630057843886272, 0.4732596805349848, 0.5350648451335558, 0.493923375864768, 0.4895452272060578, 0.4931478546829568, 0.48333333333333317, 0.5021356655465381, 0.4557849976319822, 0.5035942192736966, 0.44289962374476277, 0.5367650357493158, 0.5014469503227582, 0.4893537581038633, 0.48328448204540164, 0.4998327421587672, 0.47500000000000003]"
p0.09102981779915217_n20_k4_seed0,0.09102981779915217,0,20,4,0.984375,1.1115789473684212,1.834325447281853,1.2195121951219514,0.05000006553189977,0.050000479553766145,(0.075+0j),2.067255515401011e-11,9.655513511538836e-07,0.05,4.1,0.49833333333333335,"[-6.9622757486102795, -6.2360679774998005, -6.09484837494489, -6.000000000000002, -6.000000000000001, -5.793604493334839, -5.335408710752675, -5.000000000000002, -5.0, -4.999999999999996, -4.372530413375243, -4.284079043840409, -4.0000000000000115, -3.669746972497341, -3.4424634841649513, -2.002591144997011, -1.7639320225002093, -0.5625986348225865, -0.47985297865979826, 4.440892098500626e-16]","[4.692569985411005, 4.130901699437494, 4.043664827012303, 4.025056024120062, 4.200000000000001, 4.019098300562505, 4.07577578482823, 4.004444562757208, 4.1203093321965465, 4.025, 4.0254667915389595, 4.130901699437493, 4.1, 4.063556895958112, 4.019098300562505, 4.074612527391735, 4.019098300562505, 4.024353187859656, 4.130901699437494, 4.1]","[0.4307430014588996, 0.503576496722917, 0.49563351729876975, 0.49958239959799916, 0.4966666666666666, 0.5147568366104162, 0.49242242151717697, 0.526430654077147, 0.4954722263010386, 0.4995833333333333, 0.49745332084610405, 0.5035764967229175, 0.49833333333333335, 0.4936443104041887, 0.5147568366104162, 0.4925387472608266, 0.5147568366104162, 0.49756468121403435, 0.5035764967229173, 0.4983333333333333]"
p0.09102981779915217_n20_k4_seed1,0.09102981779915217,1,20,4,0.8235294117647058,0.8989473684210527,1.6839254531959869,1.3636363636363635,0.05000018950807222,0.050001151258167745,(0.08964984990834504+0j),5.981029372817001e-11,2.3205423433880394e-06,0.05,4.4,0.4416666666666666,"[-7.9197950925102605, -7.151241226423457, -6.8112785346212075, -6.492915481174295, -6.105860285883, -5.916915249005933, -5.646050160758568, -5.0000000000000036, -5.0, -4.999999999999999, -4.999999999999998, -4.3954367088818405, -4.204272111165664, -3.944394637960861, -3.6927769345401322, -2.02082564320939, -1.7972532774910976, -1.1790576684027445, -0.7219269879715569, -4.440892098500626e-16]","[5.397498354310825, 4.776650553925453, 4.7681302041178535, 4.386403463832969, 4.389134564585446, 4.314647065716057, 4.328503487563321, 4.254713622119131, 4.354788188470641, 4.245562247718683, 4.122946859903382, 4.300364780976694, 4.371363162727997, 4.240221650058128, 4.050399184375503, 4.481322317786931, 4.183502614031117, 4.262308217700744, 4.193994822735405, 4.4]","[0.3098468752391162, 0.3546553292516901, 0.37712847415295286, 0.4374078111299967, 0.43495859739743037, 0.47721149482667097, 0.4378717242506694, 0.46337320111808145, 0.4562485795762151, 0.4721887538077907, 0.48953301127214155, 0.4797557678658753, 0.4393758367367647, 0.46700689798788403, 0.5001752254946841, 0.4151425675845092, 0.4848799365258964, 0.44910639230060556, 0.4919585507367356, 0.4416666666666667]"
p0.09102981779915217_n20_k4_seed2,0.09102981779915217,2,20,4,0.8759124087591241,0.9978947368421054,1.7450672356515762,1.4285714285714286,0.05000010427535882,0.05000073608914869,(0.07630044442544878+0j),3.2916627333892216e-11,1.4842477447135307e-06,0.049999999999999996,4.2,0.465,"[-7.954771620528634, -6.306827213518541, -6.165632002248808, -5.999999999999997, -5.913369888985917, -5.794819567899042, -5.403077377472495, -5.310224972083027, -5.000000000000004, -5.000000000000001, -4.481642041713732, -4.293946885137488, -4.153763565955134, -3.6055738092716116, -3.518526235508178, -1.8836375591378478, -1.782238734529119, -0.9211196838144786, -0.5108288421959656, 0.0]","[5.314571736712829, 4.238762260367471, 4.211182419899606, 4.2000000000000135, 4.042899089758361, 4.296431928202456, 4.1242375974221765, 4.308967198707916, 4.133333333333334, 4.00162371164969, 4.134643261500106, 4.042024897155377, 4.1650100129781125, 4.081420689009855, 4.036492010242549, 4.10713966067472, 4.195303955782032, 4.1417574408227145, 4.025822507430379, 4.199999999999999]","[0.28740841124506766, 0.4525968502729807, 0.4609060566453187, 0.4649999999999975, 0.49225727588780116, 0.44801018635571405, 0.480354671654893, 0.43829503608868625, 0.4766666666666667, 0.49971585046130435, 0.47531019711923256, 0.4920160047135768, 0.47151382009066123, 0.4855652048269678, 0.49333354398623835, 0.4802106586298082, 0.46743489776821223, 0.4732294183625565, 0.49489109968561945, 0.465]"
p0.09102981779915217_n20_k4_seed3,0.09102981779915217,3,20,4,0.8181818181818182,0.8926315789473683,1.6848280718994586,1.3636363636363635,0.050000096921775095,0.0500006005219735,(0.0847518453324347+0j),3.059601598388076e-11,1.2108249288489971e-06,0.05,4.4,0.44333333333333336,"[-7.916615620270898, -7.589334237935121, -6.760521307003283, -6.441412423485969, -6.051056905744433, -5.882399422693376, -5.625401809006254, -5.257978777832033, -5.000000000000007, -5.000000000000003, -4.732819213507965, -4.437740490554969, -4.1741464272934214, -3.742046493298612, -3.5679191734004965, -2.170572667532955, -1.8291738420181385, -1.0818296513108157, -0.7390315371112205, -2.220446049250313e-16]","[5.42605440106207, 5.464610634750229, 4.829482430459297, 4.40272424460732, 4.10687240593492, 4.133726602043696, 4.141415272590059, 4.24984724121503, 4.266666666666669, 4.000942874131769, 4.7086258253978475, 4.1511931589382005, 4.406965343064523, 4.102186187871548, 4.208232197688696, 4.334355840766365, 4.336862696648773, 4.240893181030794, 4.089285669263962, 4.4]","[0.2889431504437361, 0.3095036857963198, 0.400440189688618, 0.43182888648723894, 0.4816075975582667, 0.48222804276666054, 0.477270761040649, 0.467112496338952, 0.4622222222222216, 0.4998664261646661, 0.39095462725336466, 0.47276332936294646, 0.44416088896507905, 0.48588789385762715, 0.47087361315155585, 0.4445104273575668, 0.4605464639181352, 0.46732575337884796, 0.48515330374554694, 0.44333333333333325]"
p0.09102981779915217_n20_k4_seed4,0.09102981779915217,4,20,4,0.7894736842105263,0.9010526315789473,1.610517733919305,1.1363636363636362,0.050000059786541,0.05000041683774353,(0.07014935594389893+0j),1.8859994994717337e-11,8.395047737471321e-07,0.05,4.4,0.4200000000000001,"[-7.542064483660309, -7.269331930650026, -6.916584003426648, -6.436861912894914, -6.000000000000014, -5.96023283455312, -5.697137832518835, -5.522395697467559, -5.000000000000002, -5.0, -4.719144575169483, -4.350838213854652, -4.254247664805363, -3.7088045951313027, -3.59430226628786, -2.2325590964820177, -1.956608963967515, -1.0723648537060197, -0.7665210754244157, -3.3306690738754696e-16]","[4.9036031949522645, 4.797294124330115, 4.66549940748902, 4.515647336740432, 4.666666666666666, 4.276868029332302, 4.35433813433551, 4.105408865498329, 4.276012411900741, 4.433333333333334, 4.315960305782493, 4.453810499584821, 4.148515219485586, 4.431320807994715, 4.117144578740654, 4.523149723820312, 4.221294625277927, 4.363139008640617, 4.140339471328236, 4.399999999999999]","[0.319279361009547, 0.3405411751339772, 0.36690011850219595, 0.3968705326519135, 0.3666666666666668, 0.4446263941335395, 0.42913237313289787, 0.47891822690033403, 0.4447975176198518, 0.4133333333333332, 0.4368079388435014, 0.40923790008303584, 0.4702969561028828, 0.41373583840105704, 0.476571084251869, 0.3953700552359374, 0.45574107494441474, 0.4273721982718764, 0.4719321057343531, 0.42]"
p0.09102981779915217_n20_k4_seed5,0.09102981779915217,5,20,4,0.7894736842105263,0.9010526315789473,1.610517733919305,1.1363636363636362,0.050000078713650455,0.050000452764179845,(0.08778907394544126+0j),2.48334838396617e-11,9.114649063739213e-07,0.049999999999999996,4.4,0.42000000000000004,"[-7.544935428369224, -7.15936992300126, -6.97199782335444, -6.502396043151648, -5.999999999999995, -5.944658895088958, -5.586666373308883, -5.463063719370782, -5.191824394631467, -4.9999999999999964, -4.84729767421809, -4.466025093656277, -4.113012228302538, -3.697720091830847, -3.5339554443673884, -2.047175934745132, -1.8427351138704977, -1.425875617277296, -0.6612902014553081, -1.1102230246251565e-16]","[4.90362948655063, 4.917841701959146, 4.6972830909895595, 4.43572730712511, 4.303030303030305, 4.328840579053747, 4.4307319330035675, 4.358198130122785, 4.273715053346682, 4.1000000000000005, 4.55224148430557, 4.093369961786767, 4.294826757605611, 4.505767460003138, 4.186076177576354, 4.433521953288063, 4.285700981318324, 4.366743748595646, 4.132753890338995, 4.399999999999999]","[0.319274102689874, 0.31643165960817116, 0.3605433818020881, 0.41285453857497806, 0.4393939393939388, 0.43423188418925074, 0.4138536133992865, 0.428360373975443, 0.44525698933066354, 0.48000000000000004, 0.38955170313888626, 0.48132600764264655, 0.4410346484788781, 0.39884650799937243, 0.4627847644847293, 0.41329560934238746, 0.44285980373633504, 0.426651250280871, 0.473449221932201, 0.4199999999999998]"
